#,1,1,V,2
$,1,100,10.00,1000.00
$,2,200,10.00,2000.00#,1,1,V,2,$,1,100,10.00,1000.00
$,2,200,10.00,2000.00
#,1,1,V,2,$,1,100,10.00,1000.00
$,1,0,0.00,0.00
#,1,1,V,2,$,1,100,10.00,1000.00
$,2,200,10.00,2000.00
#,1,1,V,2,$,1,100,10.00,1000.00
$,1,0,0.00,0.00
#,1,1,V,2,$,1,100,10.00,1000.00
$,2,200,10.00,2000.00
#,1,1,V,2,$,1,100,10.00,1000.00
$,1,0,0.00,0.00
#,1,1,V,2,$,1,100,10.00,1000.00
$,2,200,10.00,2000.00
#,1,1,V,2,$,1,100,10.00,1000.00
$,1,0,0.00,0.00
#,1,1,V,2,$,1,100,10.00,1000.00
$,2,200,10.00,2000.00
#,1,1,V,2,$,1,100,10.00,1000.00
$,1,0,0.00,0.00
#,1,1,V,2,$,1,100,10.00,1000.00
$,2,200,10.00,2000.00
#,1,1,V,2,$,1,100,10.00,1000.00
$,1,0,0.00,0.00
#,1,1,V,2,$,1,100,10.00,1000.00
$,2,200,10.00,2000.00
#,1,1,V,2,$,1,100,10.00,1000.00
$,1,0,0.00,0.00
#,1,1,V,2,$,1,100,10.00,1000.00
$,2,200,10.00,2000.00
#,1,1,V,2,$,1,100,10.00,1000.00
$,1,0,0.00,0.00
#,1,1,V,2,$,1,100,10.00,1000.00
$,2,200,10.00,2000.00
#,1,1,V,2,$,1,100,10.00,1000.00
$,1,0,0.00,0.00
#,1,1,V,2,$,1,100,10.00,1000.00
$,2,200,10.00,2000.00
#,1,1,V,2,$,1,100,10.00,1000.00
$,1,0,0.00,0.00
